k,WCSS,Silhouette,DaviesBouldin
2,416.45442567803946,0.6563597349141684,0.8255977425977761
3,292.9027543277029,0.5481229321505091,0.8950396322234089
4,187.43178481633367,0.45401846358463877,0.7593128778626002
5,124.90559376854338,0.4474794703166426,0.6784888111848553
6,95.06417368528189,0.44332644170759195,0.6386927940276551
7,78.8040890388252,0.33140915248253583,0.7688640827544952
8,63.86757235733882,0.3619526570478083,0.6880940055425973
9,52.16924858316062,0.35478568086132606,0.5942163407860259
10,45.798619211820416,0.2870639186177868,0.7198191294617934
